price,const_type,net_m2,brut_m2,room,age,floor,no_of_floor,heating,due,deposit,no_of_bathroom,no_of_wc,in_site,furniture,location
1900,Betonarme,50,70,1+1,5-10,13,16,Merkezi (Pay Ölçer),0,0,1,1,Hayır,Boş,Avcılar
4000,Betonarme,115,125,3+1,20 Ve Üzeri,4,5,Merkezi Doğalgaz,450,4000,1,1,Hayır,Boş,Beşiktaş
2200,Betonarme,100,120,3+1,1-4,0,6,Kombi Doğalgaz,50,4400,1,1,Hayır,Eşyalı,Beylikdüzü
2000,Betonarme,90,100,2+1,5-10,1,9,Merkezi (Pay Ölçer),280,0,1,1,Hayır,Eşyalı,Esenyurt
1500,Betonarme,85,98,2+1,5-10,3,5,Kombi Doğalgaz,40,1500,1,1,Hayır,Boş,Pendik
1800,Betonarme,100,101,2+1,5-10,1,5,Kombi Doğalgaz,0,0,1,1,Hayır,Boş,Bayrampaşa
3100,Betonarme,85,95,2+1,1-4,8,12,Merkezi (Pay Ölçer),0,0,1,1,Hayır,Boş,Eyüpsultan
1750,Betonarme,62,63,1+1,20 Ve Üzeri,3,3,Merkezi Doğalgaz,210,3500,1,1,Hayır,Eşyalı,Küçükçekmece
2500,Betonarme,70,75,2+1,1-4,3,6,Kombi Doğalgaz,0,5000,1,1,Hayır,Boş,Başakşehir
950,Betonarme,130,140,Other,0 (Yeni),1,4,Kombi Doğalgaz,30,950,1,1,Hayır,Boş,Sancaktepe
900,Betonarme,70,80,2+1,11-20,4,4,Kombi Doğalgaz,0,0,1,1,Hayır,Boş,Pendik
950,Betonarme,70,75,1+1,11-20,1,3,Kombi Doğalgaz,0,0,1,1,Hayır,Boş,Tuzla
1650,Betonarme,57,58,1+1,11-20,9,9,Merkezi Doğalgaz,420,3300,1,1,Hayır,Eşyalı,Küçükçekmece
4200,Betonarme,150,190,4+1,1-4,4,4,Kombi Doğalgaz,0,0,3,1,Hayır,Boş,Beylikdüzü
1500,Betonarme,60,80,2+1,20 Ve Üzeri,2,4,Kombi Doğalgaz,0,1500,1,1,Hayır,Boş,Bağcılar
1250,Betonarme,65,75,1+1,0 (Yeni),3,5,Kombi Doğalgaz,0,0,1,1,Hayır,Boş,Pendik
3250,Betonarme,90,119,3+1,5-10,11,30,Merkezi (Pay Ölçer),0,0,1,1,Hayır,Eşyalı,Kartal
1400,Betonarme,70,85,1+1,1-4,1,3,Merkezi (Pay Ölçer),0,0,1,1,Hayır,Boş,Tuzla
2750,Betonarme,110,135,3+1,11-20,9,9,Kombi Doğalgaz,260,0,2,1,Evet,Boş,Ümraniye
1600,Betonarme,8,35,Stüdyo,20 Ve Üzeri,3,5,Other,0,1600,1,1,Hayır,Eşyalı,Kadıköy
1500,Betonarme,90,95,2+1,20 Ve Üzeri,-2,5,Kombi Doğalgaz,20,1500,1,1,Hayır,Boş,Bahçelievler
1600,Betonarme,80,90,1+1,20 Ve Üzeri,-3,4,Kombi Doğalgaz,30,1600,1,1,Hayır,Boş,Küçükçekmece
4250,Betonarme,135,171,3+1,1-4,7,15,Merkezi (Pay Ölçer),0,8500,2,2,Hayır,Boş,Esenyurt
2250,Betonarme,37,40,1+1,20 Ve Üzeri,11,14,Merkezi Doğalgaz,0,4500,1,1,Hayır,Boş,Bakırköy
2700,Betonarme,300,310,4+1,11-20,2,4,Kombi Doğalgaz,0,2700,2,2,Hayır,Boş,Avcılar
1500,Betonarme,60,70,1+1,5-10,2,4,Kombi Doğalgaz,30,1500,1,1,Hayır,Boş,Küçükçekmece
3150,Betonarme,105,134,3+1,5-10,12,16,Kombi Doğalgaz,0,0,2,1,Hayır,Boş,Ümraniye
1450,Betonarme,80,90,2+1,20 Ve Üzeri,4,5,Kombi Doğalgaz,0,0,1,1,Hayır,Boş,Gaziosmanpaşa
2750,Betonarme,90,100,3+1,20 Ve Üzeri,2,4,Kombi Doğalgaz,0,2750,1,1,Hayır,Boş,Fatih
1200,Betonarme,80,90,2+1,5-10,0,5,Kombi Doğalgaz,0,1200,1,2,Hayır,Boş,Pendik
1550,Betonarme,75,95,2+1,1-4,4,4,Kombi Doğalgaz,0,0,1,1,Hayır,Boş,Gaziosmanpaşa
2750,Betonarme,75,90,2+1,20 Ve Üzeri,1,4,Kombi Doğalgaz,20,3000,1,1,Hayır,Eşyalı,Fatih
3000,Betonarme,96,100,2+1,0 (Yeni),1,4,Kombi Doğalgaz,0,0,2,1,Hayır,Boş,Beylikdüzü
2250,Betonarme,100,115,2+1,20 Ve Üzeri,5,5,Kombi Doğalgaz,75,4500,1,1,Hayır,Boş,Beyoğlu
1000,Betonarme,60,70,1+1,20 Ve Üzeri,3,3,Isıtma Yok,0,1000,1,1,Hayır,Boş,Beyoğlu
5500,Betonarme,105,139,2+1,11-20,23,23,Kombi Doğalgaz,0,0,2,1,Hayır,Boş,Ataşehir
1500,Betonarme,90,100,2+1,20 Ve Üzeri,1,4,Other,25,1500,1,1,Hayır,Boş,Fatih
1100,Betonarme,40,55,1+1,20 Ve Üzeri,3,3,Isıtma Yok,0,1200,1,1,Hayır,Boş,Fatih
