price,ann_date,type,category,const_type,net_m2,brut_m2,room,age,floor,no_of_floor,heating,due,deposit,no_of_bathroom,no_of_wc,in_site,furniture,location
"1,900TL",26 Şubat 2021,Konut,Kiralık,Belirtilmemiş,50 m2,70 m2,1+1,5-10,13. Kat,16,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Avcılar
"4,000TL",26 Şubat 2021,Konut,Kiralık,Betonarme,115 m2,125 m2,3+1,20 Ve Üzeri,4. Kat,5,Merkezi Doğalgaz,450 TL,4.000 TL,1,1,Hayır,Boş,Beşiktaş
"2,200TL",25 Şubat 2021,Konut,Kiralık,Betonarme,100 m2,120 m2,3+1,4,Düz Giriş,6,Kombi Doğalgaz,50 TL,4.400 TL,1,1,Hayır,Eşyalı,Beylikdüzü
"2,000TL",24 Şubat 2021,Konut,Kiralık,Belirtilmemiş,90 m2,100 m2,2+1,5-10,1. Kat,9,Merkezi (Pay Ölçer),280 TL,Belirtilmemiş,1,1,Hayır,Eşyalı,Esenyurt
"7,500TL",24 Şubat 2021,Konut,Kiralık,Betonarme,128 m2,140 m2,2+1,20 Ve Üzeri,2. Kat,6,Merkezi Doğalgaz,1.450 TL,Belirtilmemiş,2,Belirtilmemiş,Evet,Boş,Beşiktaş
"1,500TL",25 Şubat 2021,Konut,Kiralık,Betonarme,85 m2,98 m2,2+1,5-10,3. Kat,5,Kombi Doğalgaz,40 TL,1.500 TL,1,1,Hayır,Boş,Pendik
"1,800TL",24 Şubat 2021,Konut,Kiralık,Belirtilmemiş,100 m2,101 m2,2+1,5-10,1. Kat,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Bayrampaşa
"3,100TL",24 Şubat 2021,Konut,Kiralık,Belirtilmemiş,85 m2,95 m2,2+1,4,8. Kat,12,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Eyüpsultan
"1,750TL",24 Şubat 2021,Konut,Kiralık,Betonarme,62 m2,63 m2,1+1,20 Ve Üzeri,3. Kat,3,Merkezi Doğalgaz,210 TL,3.500 TL,1,1,Hayır,Eşyalı,Küçükçekmece
"2,500TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,70 m2,75 m2,2+1,1,3. Kat,6,Kombi Doğalgaz,Belirtilmemiş,5.000 TL,1,1,Hayır,Belirtilmemiş,Başakşehir
950TL,23 Şubat 2021,Konut,Kiralık,Betonarme,130 m2,140 m2,2+2,0 (Yeni),1. Kat,4,Kombi Doğalgaz,30 TL,950 TL,1,1,Hayır,Boş,Sancaktepe
900TL,23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,70 m2,80 m2,2+1,11-20,4. Kat,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Pendik
950TL,23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,70 m2,75 m2,1+1,11-20,1. Kat,3,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Tuzla
"1,650TL",22 Şubat 2021,Konut,Kiralık,Betonarme,57 m2,58 m2,1+1,11-20,9. Kat,9,Merkezi Doğalgaz,420 TL,3.300 TL,1,1,Hayır,Eşyalı,Küçükçekmece
"4,200TL",21 Şubat 2021,Konut,Kiralık,Belirtilmemiş,150 m2,190 m2,4+1,1,4. Kat,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,3,Belirtilmemiş,Hayır,Boş,Beylikdüzü
"1,500TL",20 Şubat 2021,Konut,Kiralık,Betonarme,60 m2,80 m2,2+1,20 Ve Üzeri,2. Kat,4,Kombi Doğalgaz,0 TL,1.500 TL,1,1,Hayır,Boş,Bağcılar
"12,000TL",21 Şubat 2021,Konut,Kiralık,Betonarme,380 m2,420 m2,5+2,11-20,Villa Tipi,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,3,3,Evet,Boş,Başakşehir
"6,800TL",20 Şubat 2021,Konut,Kiralık,Betonarme,106 m2,122 m2,3+1,0 (Yeni),2. Kat,8,Merkezi (Pay Ölçer),200 TL,13.000 TL,2,2,Hayır,Boş,Kadıköy
